INTL_20190216_000280	波波商店 1,000点数购买券	포포샵 1000 포인트 구매권				
INTL_20190216_000281	使用后可获得波波商店积分1000点.{nl} - 仅可在波波积分商店活动期间内使用.	사용 시 포포샵 1000 포인트가 추가됩니다.{nl} - 최대 포인트가 초과될 경우 사용할 수 없습니다.{nl} - 포포샵 이벤트 기간중에만 사용할 수 있습니다.				
INTL_20190216_000282	生命恢复药水(1天)	HP 포션 (1일)				
INTL_20190216_000283	HP立刻恢复40%,11秒内每隔2秒HP恢复40%,点击鼠标右键使用,冷却时间20秒.	HP를 40% 즉시 회복시키고 2초 간격으로 11초 동안 HP를 40% 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 20초.				
INTL_20190216_000284	生命恢复药水(7天)	HP 포션 (7일)				
INTL_20190216_000285	SP立刻恢复40%,11秒内每隔2秒SP恢复40%,点击鼠标右键使用,冷却时间20秒.	SP를 40% 즉시 회복시키고 2초 간격으로 11초 동안 SP를 40% 회복 시켜줍니다. 마우스 오른쪽 클릭으로 사용합니다. 재사용 대기시간 20초.				
INTL_20190216_000286	技能恢复药水(1天)	SP 포션 (1일)				
INTL_20190216_000287	技能恢复药水(7天)	SP 포션 (7일)				
INTL_20190216_000288	制作书 - HP药水(1天)	제작서 - HP 포션 (1일)				
INTL_20190216_000289	制作书 - HP药水(7天)	제작서 - HP 포션 (7일)				
INTL_20190216_000290	制作书 - SP药水(1天)	제작서 - SP 포션 (1일)				
INTL_20190216_000291	制作书 - SP药水(7天)	제작서 - SP 포션 (7일)				
INTL_20190219_000292	这是可以制作道具的制作书.	아이템을 제작할 수 있는 제작서입니다.				
INTL_20190219_000293	只能在波波积分商店活动期间使用.	포포샵 이벤트 기간에만 사용 가능합니다.				
INTL_20190219_000294	无法超过{MAX}点.	{MAX}포인트를 초과할 수 없습니다.				
INTL_20190228_000295	庆典爆竹	축제 폭죽				
INTL_20190228_000296	大家的烟火节	모두의 불꽃 축제				
INTL_20190228_000297	收集庆典爆竹可以跟活动布告栏交换各种道具.{nl}(使用时,10分内移动速度+2、物理攻击力+50、魔法攻击力+50.)	축제 폭죽을 모아 이벤트 알림판으로부터 다양한 아이템으로 교환할 수 있습니다.{nl}(사용 시 10분 동안 이동속도 +2, 물리 공격력 +50, 마법 공격력 +50 증가합니다.)				
INTL_20190228_000298	庆典服装选择箱	축제 의상 코스튬 선택 상자				
INTL_20190228_000299	箱子里装有可以参加烟火节活动的庆典服装.	폭죽 축제 이벤트에 참여할 수 있는 축제 의상 코스튬이 담긴 상자입니다.				
INTL_20190228_000300	男性庆典服装(30天)	남성용 축제 의상 코스튬(30일)				
INTL_20190228_000301	适合穿去参加庆典的西装,穿上外观会改变.	축제에 입고가기 무난한 정장입니다. 착용하면 외형이 변경 됩니다.				
INTL_20190228_000302	女性庆典服装(30天)	여성용 축제 의상 코스튬(30일)				
INTL_20190228_000303	适合尔去参加庆典的洋装,穿上外观会改变.	축제에서 입기 무난한 드레스입니다. 착용하면 외형이 변경 됩니다.				
INTL_20190228_000304	活动期间穿著庆典服装去猎杀怪物,可以获得庆典爆竹.{nl}把庆典爆竹带来给我,可以交换各种道具.{nl}(在我周围使用庆典爆竹,可以额外获得「大家的烟火节」BUFF.)	이벤트 기간 동안 축제 의상을 입고 몬스터를 처치하면 축제 폭죽을 획득할 수 있습니다.{nl}축제 폭죽을 저에게 가져오시면 다양한 아이템으로도 교환할 수 있습니다.{nl}(제 주변에서 축제 폭죽을 사용하면 "모두의 불꽃 축제" 버프를 추가로 획득할 수 있습니다.)				Ninot
INTL_20190228_000305	{SEC}秒后发动「大家的烟火节」BUFF.	{SEC}초 후 "모두의 불꽃 축제" 버프가 발동 됩니다.				
INTL_20190228_000306	发动「大家的烟火节」BUFF!	모두의 불꽃 축제 버프가 발동합니다!				
INTL_20190228_000307	穿著庆典服使用庆典爆竹,{nl}可以额外获得{nl}「大家的烟火节」BUFF.	축제 의상을 입고 축제 폭죽을 사용하면{nl}"모두의 불꽃 축제"{nl}버프를 추가로 획득할 수 있습니다.				
INTL_20190305_000308	在活动期间获取特殊物品和Buff!{nl}出勤奖励:2019年3月13日-17日{nl}周末24小时Buff:2019年3月16日-17日及3月23日-24日	이벤트 기간동안 특별한 아이템과 버프를 획득할 수 있습니다.{nl}특별 접속 보상: 3월13일 ~ 3월17일{nl}주말 핫타임 24시간 버프: 3월16일 ~ 3월 17일, 3월23일 ~ 3월 24일				특별 접속 보상 이벤트 도우미
INTL_20190309_000309	音乐盒转蛋	3월 특판 큐브				
INTL_20190309_000310	音乐盒转蛋 x10+1	3월 특판 큐브 x10+1				
INTL_20190316_000311	获得甜甜的巧克力	달콤한 초콜릿 받기				
INTL_20190316_000312	非活动期间.	이벤트 기간이 아닙니다.				
INTL_20190322_000313	颁发给内容创作大赛优胜者的称号.右键点击使用.	Content Creator 수상자에게 지급되는 칭호입니다. 마우스 오른쪽 클릭으로 사용합니다.				
INTL_20190322_000314	颁发给《天堂OL》周年纪念活动优胜者的称号.右键点击使用.	Happy Anniversary 수상자에게 지급되는 칭호입니다. 마우스 오른쪽 클릭으로 사용합니다.				
INTL_20190405_000315	花叶	꽃잎				
INTL_20190405_000316	收集花叶好像会发生好事喔.	꽃잎을 모으면 좋은 일이 생길 것 같습니다.				
INTL_20190405_000317	花路魔方	꽃길 큐브				
INTL_20190405_000318	荷叶边装饰妖精套装选择箱	프릴 장식 페어리 코스튬 선택 상자				
INTL_20190405_000319	装有荷叶边装饰妖精套装的箱子,点击鼠标右键即可使用.	프릴 장식 페어리 코스튬이 들어있는 상자입니다. 마우스 오른쪽 버튼 클릭으로 사용합니다.				
INTL_20190405_000320	需要5个花叶.	꽃잎은 5개가 필요합니다.				이벤트 알림판
INTL_20190405_000321	您可以用前五片花瓣兑换樱花发卡.接下来的五片花瓣,可以兑换三色小吃发卡.	이벤트 기간동안 최초 꽃잎 5개는 삼색 경단 머리핀, 이후 꽃잎 5개는 벚꽃 머리핀으로 교환할 수 있습니다.				이벤트 알림판
INTL_20190405_000322	花路活动	꽃길 이벤트				
INTL_20190419_000323	检查速度外挂使用情况	스피드핵 체크 사용 여부				
INTL_20190501_000324	导师大赛冠军的称号.右键使用.	Guide Master 수상자에게 지급되는 칭호입니다. 마우스 오른쪽 클릭으로 사용합니다.				
INTL_20190611_000325	神秘魔方(男性)	Mystery Cube(남자)				
INTL_20190611_000326	神秘魔方(女性)	Mystery Cube(여자)				
INTL_20190611_000327	神秘魔方(男性)x10+1	Mystery Cube(남자) x10+1				
INTL_20190611_000328	神秘魔方(女性)x10+1	Mystery Cube(여자) x10+1				
INTL_20190628_000329	职业变更券 Lv.4 (1天){nl}属性重置药水 (1天){nl}活动期间内,每天可以领取3个.	클래스 변경권 Lv.4 (1일){nl}스탯 초기화 포션 (1일){nl}이벤트 기간 동안 매일 3개씩 지원해드리고 있습니다.	QUEST_20181207_010528	랭크 리셋 복권 (1일){nl}스탯 리셋 포션 (1일){nl}이벤트 기간 동안 매일마다 각 3개씩 받을 수 있습니다.(重新翻译)랭크 초기화 쿠폰 (1일){nl}스탯 초기화 포션 (1일){nl}이벤트 기간 동안 매일 3개씩 받을 수 있습니다.	랭크 초기화권 (1일){nl}스탯 초기화 포션 (1일){nl}이벤트 기간 동안 매일 3개씩 지원해드리고 있습니다.	초기화 지원 도우미
INTL_20190715_000330	标题 - 我的伙伴丘帕卡布拉	Title - 내친구 츄파카브라				
INTL_20190715_000331	参与“我的伙伴丘帕卡布拉”事件的标题.右键点击使用.	사막 츄파카브라 성장 시 지급되는 칭호입니다. 마우스 오른쪽 클릭으로 사용합니다.				
INTL_20190715_000332	活动期间获取特殊物品{nl}详细信息请参阅活动banner.	이벤트 기간동안 특별한 아이템을 획득할 수 있습니다.{nl}이벤트 배너를 참고해주세요.	INTL_20190305_000308	活动期间获取特殊物品和BUFF!{nl}签到奖励:2019年3月13日至17日{nl}周末24小时BUFF:2019年3月16-17日及3月23-24日	이벤트 기간동안 특별한 아이템과 버프를 획득할 수 있습니다.{nl}특별 접속 보상: 3월13일 ~ 3월17일{nl}주말 핫타임 24시간 버프: 3월16일 ~ 3월 17일, 3월23일 ~ 3월 24일	특별 접속 보상 이벤트 도우미
INTL_20190723_000333	用于钓鱼的特殊鱼饵.使用它作为鱼饵进行钓鱼时,可以各自不同的机率获得[活动]池塘内隐藏的宝箱、银色鱼、小银色鱼.	낚시에 사용하는 특별한 미끼입니다. 미끼로 사용할 경우 [이벤트]연못에 숨겨진 보물 상자, 은빛 물고기, 작은 은빛 물고기를 각기 다른 확률로 획득 할 수 있습니다.				
INTL_20190820_000334	[周末狂热] 经验值增加	[주말 버닝] 경험치 증가				
INTL_20190820_000335	经验值增加 +100%	경험치 증가 + 100%				
INTL_20190820_000336	[周末狂热] 移动速度增加	[주말 버닝] 이동 속도 증가				
INTL_20190820_000337	佩狄米安的铁匠戴利亚贝利斯要求的特殊装备制作材料.{nl}可以通关贝尔库波的巢穴、白鸦长眠地:传说、白鸦长眠地:独特、挑战5阶段、修女院任务、等级副本取得.{nl}活动结束后将统一删除.	페디미안의 대장장이 테리아베리스가 요청한 특별한 장비를 만들기 위한 특별한 재료입니다.{nl}벨코퍼의 둥지, 흰 까마귀의 영면지: 레전드, 흰 까마귀의 영면지: 유니크, 챌린지 5단계, 수녀원 미션, 레벨 던전 클리어 시 획득할 수 있습니다.{nl}4월 11일 점검 시, 일괄 삭제 됩니다				
INTL_20190820_000338	纪念2019年夏天的活动正热烈举办中.{nl}目前提供{#003399}[活动] 巴赛罗斯铸币{/}的兑换与公会活动奖励.	2019년 여름을 기념하는 이벤트가 진행 중입니다.{nl}{#003399}[이벤트] 바살로스 주화{/}  교환과 길드 활동 보상을 지원해드립니다.				이벤트 도우미
INTL_20190820_000339	2. {#003399}[Summer Festa]柯拉佩达避暑活动{/}的奖励兑换	2. {#003399}[Summer Festa] 클라페다에서 여름 나기 이벤트{/}의 보상 교환				이벤트 도우미
INTL_20190820_000340	通关:5个{nl}- 独特远征队	 클리어 : 5개{nl}- 유니크 레이드 				대장장이 테리아베리스
INTL_20190820_000341	通关:5个{nl}- 通关挑战模式5阶段以上:2个{nl}- 通关修女院任务:1个{nl}- 通关等级副本:1个	 클리어 : 5개{nl}- 챌린지 5단계 이상 클리어 : 2개{nl}- 수녀원 미션 클리어 : 1개{nl}- 레벨던전 클리어 : 1개				대장장이 테리아베리스
INTL_20190820_000342	NA	8/15일 하루동안 라떼 캣 헤어 악세사리를 1회 획득할 수 있습니다.				내 마음도 받아줄래 이벤트 도우미
INTL_20190820_000343	未知	추가로 이벤트 기간 아래의 보상을 받을 수 있습니다.{nl}8/14일:화이트 데이 목걸이 (물리/14일) 1개{nl}8/15일:화이트 데이 목걸이 (마법/14일) 1개{nl}8/16일:화이트 데이 팔찌 (마법/14일) 2개{nl}8/17일:화이트 데이 팔찌 (물리/14일) 2개{nl}8/18일:화이트 데이 목걸이 (물리/14일) 1개{nl}8/19일:화이트 데이 팔찌 (물리/14일) 2개				내 마음도 받아줄래 이벤트 도우미
INTL_20190828_000344	此物品只能用于改变他人的外观{nl}作为外观材料使用时,不会消耗银币{nl}可在兑换商店用来兑换勋章{nl}(本套装由来自[SEA]Telsiai的Shiseptiana设计)	외형 변경 전용 아이템입니다.{nl}해당 아이템으로 외형 변경 시 소재와 실버를 소모하지 않습니다.{nl}리사이클샵에서 메달로 교환할 수 있습니다.{nl}(This costume is designed by Shiseptiana from [SEA] Telsiai.)				
INTL_20190903_000345	为你的小屋添加一个角色槽.	사용시 캐릭터 슬롯이 추가됩니다.				
INTL_20191024_000346	2018新年愿望问候活动冠军头衔.	2018 Happy New Year Wishes Greetings 수상자에게 지급되는 칭호입니다.				
INTL_20191024_000347	颁发给收集了[活动]启示录玩家的头衔.	[이벤트] 계시를 찾은 구원자에게 지급되는 칭호입니다.				
INTL_20191024_000348	颁发给Steam粉丝艺术赛事冠军的头衔.	스팀 팬아트 수상자에게 지급되는 칭호입니다.				
INTL_20191024_000349	颁发给最具创意的TPP玩家的头衔.	Creative TPP Player에게 지급되는 칭호입니다.				
INTL_20191024_000350	颁发给夏日恋爱粉丝艺术赛事冠军的头衔.	Loving Summer 팬아트 수상자에게 지급되는 칭호입니다.				
INTL_20191024_000351	颁发给活动参与者的头衔.	이벤트 참여자에게 지급되는 칭호입니다.				
INTL_20191024_000352	颁发给游戏攻略创作者的头衔.	Game Guide Creator에게 지급되는 칭호입니다.				
INTL_20191024_000353	颁发给万圣节粉丝美术活动获胜者的头衔.	Horror Night 팬아트 수상자에게 지급되는 칭호입니다.				
INTL_20191024_000354	颁发给《TOS》武器设计比赛获胜者的头衔.	TOS Weapon Designer 수상자에게 지급되는 칭호입니다.				
INTL_20191024_000355	颁发给新年艺术家活动获胜者的头衔.	New Year Artist 수상자에게 지급되는 칭호입니다.				
INTL_20191024_000356	颁发给内容创作者活动获胜者的头衔.	Content Creator 수상자에게 지급되는 칭호입니다.				
INTL_20191024_000357	颁发给快乐周年纪念活动获胜者的头衔.	Happy Anniversary 수상자에게 지급되는 칭호입니다.				
INTL_20191024_000358	颁发给导游大师活动获胜者的头衔.	Guide Master 수상자에게 지급되는 칭호입니다.				
INTL_20191024_000359	[魔法书配戴效果]使用召唤恶魔时,召唤出魔君主马鲁若斯型态的恶魔{nl}[无法交易]	[그리모어 장착 효과] 서모닝 사용 시 마군주 마르녹스 형태의 악마 소환{nl}[거래 불가]				
INTL_20191024_000360	[魔法书配戴效果]使用召唤恶魔时,召唤出魔君主布尔鲁型态的恶魔{nl}[无法交易]	[그리모어 장착 효과] 서모닝 사용 시 마군주 블룻 형태의 악마 소환{nl}[거래 불가]				
INTL_20191024_000361	[魔法书配戴效果]使用召唤恶魔时,召唤出魔君主扎乌拉型态的恶魔{nl}[无法交易]	[그리모어 장착 효과] 서모닝 사용 시 마군주 자우라 형태의 악마 소환{nl}[거래 불가]				
INTL_20191024_000362	[魔法书配戴效果]使用召唤恶魔时,召唤出魔君主努亚耶雷型态的恶魔{nl}[无法交易]	[그리모어 장착 효과] 서모닝 사용 시 마군주 누아엘레 형태의 악마 소환{nl}[거래 불가]				
INTL_20191024_000363	[魔法书配戴效果]使用召唤恶魔时,召唤出魔君主赫嘉塞露型态的恶魔{nl}[无法交易]	[그리모어 장착 효과] 서모닝 사용 시 마군주 헬가 세르클 형태의 악마 소환{nl}[거래 불가]				
INTL_20191024_000364	[魔法书配戴效果]使用召唤恶魔时,召唤出魔君主雷克西波型态的恶魔{nl}[无法交易]	[그리모어 장착 효과] 서모닝 사용 시 마군주 렉시퍼 형태의 악마 소환{nl}[거래 불가]				
INTL_20191024_000365	[魔法书配戴效果]使用召唤恶魔时,召唤出魔君主米尔提斯型态的恶魔{nl}[无法交易]	[그리모어 장착 효과] 서모닝 사용 시 마군주 미르티스 형태의 악마 소환{nl}[거래 불가]				
INTL_20191024_000366	[魔法书配戴效果]使用召唤恶魔时,召唤出魔君主弗罗斯特领主型态的恶魔{nl}[无法交易]	[그리모어 장착 효과] 서모닝 사용 시 마군주 프로스터 로드 형태의 악마 소환{nl}[거래 불가]				
INTL_20191024_000367	使用可获得以下物品之一{nl}- 恶魔王马尔诺克斯卡片 [无法交易] x1{nl}- 恶魔王布鲁特卡片 [无法交易] x1{nl}- 恶魔王佐拉卡片 [无法交易] x1{nl}- 恶魔王努亚莉卡片 [无法交易] x1{nl}- 恶魔王赫尔加塞克尔卡片 [无法交易] x1{nl}- 恶魔王雷克西斐尔卡片 [无法交易] x1{nl}- 恶魔王米尔提斯卡片 [无法交易] x1{nl}- 恶魔王弗罗斯特罗德卡片 [无法交易] x1	사용 시 아래의 구성물 중 하나를 선택해 획득할 수 있습니다.{nl} - 마군주 마르녹스 카드 [거래 불가] 1개{nl} - 마군주 블룻 카드 [거래 불가] 1개{nl} - 마군주 자우라 카드 [거래 불가] 1개{nl} - 마군주 누아엘레 카드 [거래 불가] 1개{nl} - 마군주 헬가 세르클 카드 [거래 불가] 1개{nl} - 마군주 렉시퍼 카드 [거래 불가] 1개{nl} - 마군주 미르티스 카드 [거래 불가] 1개{nl} - 마군주 프로스터 로드 카드 [거래 불가] 1개				
INTL_20191104_000368	事件:万圣节上坡防御	이벤트: 와글와글 할로윈 업힐 디펜스				
INTL_20191104_000369	事件:万圣节午夜骚乱	이벤트: 할로윈 밤의 소동				
INTL_20191104_000370	万圣节午夜骚乱助手	할로윈 밤의 소동 이벤트 도우미				
INTL_20191203_000371	+90% 怪物猎杀经验值{nl}+3 移动速度{nl}+500 最大生命值	몬스터 처치 시 획득 경험치 +90%{nl}이동 속도 +3{nl}최대 체력 + 500	SKILL_20161226_007306	+90% 猎杀怪物经验值{nl}+3 移动速度	몬스터 처치 시 획득 경험치 +90%{nl}이동 속도 +3	
INTL_20191203_000372	+120% 猎杀怪物经验值{nl}+4 移动速度{nl}+1000 最大生命值	몬스터 처치 시 획득 경험치 +120%{nl}이동 속도 +4{nl}최대 체력 + 1000	SKILL_20161226_007308	+120% 猎杀怪物经验值{nl}+4 移动速度	몬스터 처치 시 획득 경험치 +120%{nl}이동 속도 +4	
INTL_20191203_000373	+150% 猎杀怪物经验值{nl}+5 移动速度{nl}+2000 最大生命值	몬스터 처치 시 획득 경험치 +150%{nl}이동 속도 +5{nl}최대 체력 + 2000	SKILL_20161226_007310	+150% 猎杀怪物经验值{nl}+5 移动速度	몬스터 처치 시 획득 경험치 +150%{nl}이동 속도 +5	
INTL_20191203_000374	使用{#FF0000}[活动]皇家圣诞钥匙{/}来打开宝箱?	{#FF0000}[이벤트] 로열 크리스마스 열쇠{/}를 사용하여 상자를 여시겠습니까?				크리스마스 로열 상자
INTL_20191203_000375	仅可在周末访问.	주말에만 대화하실 수 있습니다.				
INTL_20191205_000376	使用来打开克莱佩达的圣诞皇家宝箱,随机获得以下物品之一.{nl}[活动] 属性点 10,000 x1{nl}, [活动] 属性点 1,000 x1{nl}- [活动] 属性点 500 x1, 入侵门户石 x3{nl}- 女神雕像 (14 天) x5, 奇迹种子 (14 天) x5{nl}- [活动] 公会任务奖励币:白银 x1{nl}事件结束时将自动删除.	클라페다에 위치한 크리스마스 로열 상자를 열어 아래 아이템 중 각기 다른 확률로 한 개의 아이템을 획득할 수 있습니다.{nl}[이벤트]특성 포인트 10,000 x1{nl}[이벤트]특성 포인트 1,000 x1{nl}[이벤트]특성 포인트 500 x1{nl}축복이 깃든 씨앗(14일) x1{nl}여신의 조각상(14일) x1{nl}[이벤트] 길드 퀘스트 보상 주화 : 은 x1{nl}레이드 포탈 스톤 x1{nl}19년 12월 26일 점검시, 일괄 삭제됩니다.				
INTL_20191216_000377	{img test_cooltime 25 25}{s18}积分每季度重置.	{img test_cooltime 25 25}{s18}매 분기마다 포인트 초기화가 진행됩니다.				
INTL_20191216_000378	{nl}请选择奖励.	 {nl}원하는 보상을 선택해주세요.				
INTL_20191230_000379	仅可在星期五、星期六和星期日访问.	금,토,일에만 대화하실 수 있습니다.	INTL_20191203_000375	仅可在周末访问.	주말에만 대화하실 수 있습니다.	
INTL_20200114_000380	通往春天之路	봄으로 가는 길 				
INTL_20200114_000381	春之方块	봄 큐브	INTL_20190405_000317	花路魔方	꽃길 큐브	
INTL_20200114_000382	通往春天任务	봄으로 가는 길 이벤트 미션				
INTL_20200114_000383	活动期间内最初5个{#661199}花叶{/}可交换三色团发夹,之后5个{#661199}花叶{/}可交换25个春天魔方.	이벤트 기간동안 최초 {#661199}꽃잎{/} 5개는 삼색 경단 머리핀, 이후 {#661199}꽃잎{/} 5개는 봄 큐브 25개로 교환할 수 있습니다.	INTL_20190405_000321	您可以为前五个花瓣收到樱桃发簪. 为您的下五个花瓣,您可以收到三色零食发簪.	이벤트 기간동안 최초 꽃잎 5개는 삼색 경단 머리핀, 이후 꽃잎 5개는 벚꽃 머리핀으로 교환할 수 있습니다.	이벤트 알림판
INTL_20200114_000384	{#661199}通往春天的信息	{#661199}봄으로 가는 길 이벤트 안내	INTL_20190405_000322	花路活动	꽃길 이벤트	
INTL_20200206_000385	{@st66d_y}{s14}女神的{nl}祝福	{@st66d_y}{s14}여신의{nl}축복				
INTL_20200214_000386	通关传说远征队:5个{nl}- 通关传说远征队:休闲:2个{nl}- 通关独特远征队:5个{nl}- 通关独特远征队:休闲:2个{nl}- 通关挑战模式5阶段以上:2个{nl}- 通关等级副本:1个	 클리어 : 5개{nl}- 레전드 레이드:캐주얼 클리어 : 2개{nl}- 유니크 레이드 클리어 : 5개{nl}- 유니크 레이드:캐주얼 클리어 : 2개{nl}- 챌린지 5단계 이상 클리어 : 2개{nl}- 레벨던전 클리어 : 1개				대장장이 테리아베리스
INTL_20200609_000387	目前活动公布栏没有进行中的活动.	현재 이벤트 알림판에서 진행중인 이벤트가 없습니다.				이벤트 알림판
INTL_20200727_000388	hwid, ip 确认后保护模式是否套用,1:使用 0:不使用	hwid, ip 확인 후 보호모드 적용 여부, 1:사용 0:안함				
INTL_20201030_000389	在普鲁达公会任务要留下技能使用log吗? (1: 留, 0: 不留)	보루타 길드 미션에서 스킬 사용 로그를 남길건가? (1: 남김, 0: 안함)				
INTL_20201123_000390	提现是否适用,1:已使用 0:未使用	CashOut 적용 여부, 1:사용 0:안함				
INTL_20210128_000391	EP.13 成长支援Buff.{nl}经验值 + 600%{nl}道具掉落机会 + 300{nl}※只会对450级未满角色套用.	EP.13 성장 지원 버프 입니다.{nl}경험치 + 600%{nl}루팅찬스 + 300{nl}※450레벨 미만의 캐릭터에만 적용됩니다.				
INTL_20210318_000392	{s18}市场品级警告消息	{s18}마켓 등급 관련 경고 메세지				
INTL_20210326_000393	红灯笼,载着新年的愿望.	신년 소망을 담은 홍등입니다.				
INTL_20210326_000394	花鹿头气球.	꽃사슴 머리 모양 풍선입니다				
INTL_20211104_000395	{@st66b}{s16}{#FFFFFFF}系列排名奖励	{@st66b}{s16}{#FFFFFFF}계열 순위 보상				
INTL_20211104_000396	{@st66b}{s16}{#FFFFFFF}累计伤害奖励	{@st66b}{s16}{#FFFFFFF}누적 대미지 보상				
INTL_20211104_000397	{@st66b}{s16}{#FFFFFFF}职业排名奖励	{@st66b}{s16}{#FFFFFFF}클래스 순위 보상				
INTL_20211104_000398	{@st66b}{s16}{#FFFFFFF}团队战联盟商店	{@st66b}{s16}{#FFFFFFF}팀 배틀리그 상점				
INTL_20211104_000399	{@st66b}{s16}{#FFFFFFF}注册角色切换	{@st66b}{s16}{#FFFFFFF}교체 캐릭터 등록				
INTL_20220831_000400	野外地区伤害{img green_down_arrow 16 16}、受到的伤害减少#{CaptionRatio}#%{nl}※挑战、次元崩溃除外	필드 지역 대미지 {img green_down_arrow 16 16}#{CaptionRatio}#%, 받는 피해 10% 감소{nl}※챌린지, 차원 붕괴 제외				
INTL_20220919_000401	野外地区伤害{img green_up_arrow 16 16}#{CaptionRatio}#%、受到伤害{img green_down_arrow 16 16} 10%{nl}※挑战、分裂除外	필드 지역 대미지 {img green_up_arrow 16 16}#{CaptionRatio}#%, 받는 피해 {img green_down_arrow 16 16} 10%{nl}※챌린지, 분열 제외	INTL_20220831_000400	野外地区伤害{img green_down_arrow 16 16}、受到的伤害减少#{CaptionRatio}#%{nl}※挑战、次元崩溃除外	필드 지역 대미지 {img green_down_arrow 16 16}#{CaptionRatio}#%, 받는 피해 10% 감소{nl}※챌린지, 차원 붕괴 제외	
INTL_20221024_000402	[万圣节] 疾风之核(自动/单人)一次入场券	[할로윈] 13 핵(자동 매칭, 1인) 1회 입장권				
INTL_20221125_000403	管理者惊喜礼物盒-第1天	GM의 12월 깜짝 선물 1회차 상자				
INTL_20221125_000404	管理者惊喜礼物盒-第2天	GM의 12월 깜짝 선물 2회차 상자				
INTL_20221125_000405	管理者惊喜礼物盒-第3天	GM의 12월 깜짝 선물 3회차 상자				
INTL_20221125_000406	管理者惊喜礼物盒-第4天	GM의 12월 깜짝 선물 4회차 상자				
INTL_20221125_000407	管理者惊喜礼物盒-第5天	GM의 12월 깜짝 선물 5회차 상자				
